id,pop
Alberta,4413146
British Columbia,5110917
Diamond Princess,3711
Grand Princess,2600
Manitoba,1377517
New Brunswick,779993
Newfoundland and Labrador,521365
Nova Scotia,977457
Ontario,14711827
Prince Edward Island,158158
Quebec,8537674
Saskatchewan,1181666
Northwest Territories,44904
Yukon,41078
Nunavut,35944
