CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,20/2/2020,,,,,
AR,20/2/2020,,,,,
AS,20/2/2020,,,,,
IB,20/2/2020,1,,,,
CN,20/2/2020,1,,,,
CB,20/2/2020,,,,,
CM,20/2/2020,,,,,
CL,20/2/2020,0,,,,
CT,20/2/2020,,,,,
CE,20/2/2020,,,,,
VC,20/2/2020,,26,0,,
EX,20/2/2020,,,,,
GA,20/2/2020,,,,,
MD,20/2/2020,,,,,
ML,20/2/2020,,,,,
MC,20/2/2020,,,,,
NC,20/2/2020,,,,,
PV,20/2/2020,,,,,
RI,20/2/2020,,,,,
AN,21/2/2020,,,,,
AR,21/2/2020,,,,,
AS,21/2/2020,,,,,
IB,21/2/2020,1,,,,
CN,21/2/2020,1,,,,
CB,21/2/2020,,,,,
CM,21/2/2020,,,,,
CL,21/2/2020,0,,,,
CT,21/2/2020,,,,,
