id,pop
Lombardia,10060574
Lazio,5879082
Campania,5801692
Sicilia,4999891
Veneto,4905854
Emilia-Romagna,4459477
Piemonte,4356406
Puglia,4029053
Toscana,3729641
Calabria,1947131
Sardegna,1639591
Liguria,1550640
Marche,1525271
Abruzzo,1311580
Friuli Venezia Giulia,1215220
Umbria,882015
Basilicata,562869
Molise,305617
Valle d'Aosta,125666
P.A. Bolzano,530009
P.A. Trento,539898
